cnpj_basico,n_socios,n_administradores,socio_mais_antigo
55844956,1,0,2024-07-08
26071327,1,0,2016-08-05
62677048,1,0,2025-09-11
19596167,2,1,2014-01-20
43106777,1,0,2021-08-12
53033154,1,0,2023-11-28
08580745,1,0,2006-11-09
42126841,1,0,2021-05-28
50750253,3,1,2023-05-19
57067341,1,0,2024-08-29
57037454,1,0,2024-08-27
54547135,1,0,2024-04-01
61995488,1,0,2025-07-30
60230442,1,1,2025-04-03
50974299,4,0,2023-06-07
27975898,1,0,2017-05-17
29970927,2,2,2018-01-04
54592841,1,0,2024-04-04
24226310,2,2,2015-12-16
54383586,1,0,2024-03-19
62802915,1,0,2025-09-19
47278037,1,0,2022-07-25
30189600,1,0,2018-03-16
03828916,10,3,2005-02-23
28839458,1,0,2017-09-18
02383299,21,2,1997-10-28
19701439,4,1,2014-01-28
51013322,1,0,2023-06-12
36392881,1,0,2020-02-14
19060412,1,1,2013-08-30
53652197,1,0,2024-01-25
46390800,1,0,2022-05-13
43008575,1,0,2021-08-05
62650780,1,0,2025-09-10
05137943,2,1,2002-06-24
07028086,2,2,2004-09-29
51383949,1,0,2023-07-11
02371448,1,1,1997-12-09
08768523,4,1,2007-04-17
49193532,1,0,2023-01-16
29840203,1,0,2018-01-31
50168539,1,0,2023-03-31
64187249,1,0,2025-12-29
40379019,1,0,2021-01-13
53926908,1,0,2024-02-15
49369870,1,0,2023-01-27
23686840,1,0,2015-10-02
57066424,1,0,2024-08-29
60143180,1,0,2025-03-28
59405008,1,1,2025-02-11
63857790,1,0,2025-11-28
15407093,1,0,2012-03-29
26895400,2,2,2016-12-06
51574586,1,0,2023-07-26
37873343,1,0,2017-08-14
41165643,1,0,2021-03-10
46799517,1,0,2022-06-15
47078453,1,0,2022-07-08
27012809,1,0,2017-01-23
42622906,1,0,2021-07-07
18381460,9,2,2013-05-31
04460149,2,2,2001-05-10
26904826,3,2,2016-04-06
23546388,2,2,2015-10-16
38305260,1,0,2020-09-01
42296435,1,0,2021-06-11
59459705,1,0,2025-02-13
59822626,1,0,2025-03-10
63207589,1,0,2025-10-15
42084705,2,2,2021-05-25
29612531,1,0,2018-01-29
30407412,1,0,2018-04-10
55209428,2,2,2024-05-21
01599190,1,0,1987-11-25
62544246,1,0,2025-09-03
15258482,1,0,2012-03-06
58451773,1,0,2024-12-13
50889941,1,0,2023-05-31
01263813,1,0,1985-05-16
62860060,1,0,2025-09-23
26672682,1,0,2016-11-23
22503792,1,1,2015-04-24
54342017,1,0,2024-03-15
56928728,1,0,2024-08-20
56928808,1,0,2024-08-20
45880612,1,0,2022-04-01
23869554,2,2,2015-11-30
04927361,4,1,2002-02-28
26725208,3,3,2016-12-12
58019786,1,0,2024-11-07
02538454,2,2,2002-02-22
63999857,1,0,2025-12-09
38247320,1,0,2020-08-27
56186960,1,0,2024-07-31
52269468,1,0,2023-09-21
56945434,3,3,2024-08-21
